epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,3253.26,1.11137,0.71876,1.07666,0.73696,0.66541,0.7176,0.41775,1.56446,1.14013,1.40833,0.000247716,0.000247716,0.000247716
88,3283.24,1.08847,0.71943,1.07855,0.74535,0.66402,0.7188,0.41657,1.5695,1.14152,1.41189,0.000231213,0.000231213,0.000231213
89,3313.2,1.09482,0.71757,1.07077,0.73729,0.66385,0.71703,0.41636,1.57492,1.14775,1.42047,0.00021471,0.00021471,0.00021471
90,3342.93,1.0905,0.71628,1.07613,0.7314,0.66957,0.71664,0.41693,1.5657,1.14374,1.41219,0.000198206,0.000198206,0.000198206
91,3374.42,1.12035,0.6874,1.07311,0.72936,0.66556,0.71284,0.41194,1.57954,1.14105,1.41907,0.000181703,0.000181703,0.000181703
92,3403.74,1.09753,0.67507,1.06254,0.74326,0.65544,0.71349,0.41214,1.57788,1.14414,1.4193,0.0001652,0.0001652,0.0001652
93,3433.72,1.0921,0.66592,1.05272,0.73861,0.65996,0.71349,0.41268,1.57993,1.14916,1.4268,0.000148696,0.000148696,0.000148696
94,3464.56,1.08613,0.66574,1.05644,0.74908,0.65386,0.71269,0.41263,1.57852,1.14581,1.42592,0.000132193,0.000132193,0.000132193
95,3493.94,1.06944,0.64893,1.05015,0.7428,0.65775,0.71289,0.41226,1.58136,1.14528,1.43504,0.00011569,0.00011569,0.00011569
96,3524.1,1.07702,0.65293,1.05009,0.73812,0.66057,0.71434,0.41267,1.58572,1.14446,1.43911,9.91865e-05,9.91865e-05,9.91865e-05
97,3553.46,1.06523,0.64273,1.04384,0.74353,0.65512,0.71379,0.41419,1.58091,1.14809,1.43754,8.26832e-05,8.26832e-05,8.26832e-05
98,3583.14,1.05238,0.63644,1.03701,0.73995,0.65592,0.71291,0.41365,1.58117,1.15078,1.43846,6.61799e-05,6.61799e-05,6.61799e-05
99,3612.98,1.07233,0.62797,1.04275,0.74659,0.65618,0.71273,0.41386,1.58532,1.15529,1.44509,4.96766e-05,4.96766e-05,4.96766e-05
100,3643.76,1.06413,0.63709,1.04217,0.74627,0.65727,0.71393,0.41404,1.58652,1.15669,1.44608,3.31733e-05,3.31733e-05,3.31733e-05
