epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,6178.75,1.20613,0.84087,1.12298,0.76118,0.64632,0.72203,0.41369,1.54075,1.15115,1.35794,0.000313729,0.000313729,0.000313729
84,6238.69,1.21614,0.84639,1.12835,0.76076,0.65071,0.72073,0.41516,1.53588,1.15419,1.35558,0.000297226,0.000297226,0.000297226
85,6298.91,1.20777,0.83818,1.11781,0.7546,0.65479,0.72243,0.41576,1.53033,1.14932,1.35167,0.000280723,0.000280723,0.000280723
86,6358.52,1.18628,0.81444,1.11496,0.76603,0.64527,0.7202,0.41258,1.53923,1.1519,1.35666,0.00026422,0.00026422,0.00026422
87,6418.97,1.21665,0.83353,1.11914,0.75687,0.65131,0.723,0.41375,1.53129,1.15002,1.34894,0.000247716,0.000247716,0.000247716
88,6478.72,1.1923,0.83763,1.12352,0.76502,0.65016,0.72399,0.41454,1.53576,1.15437,1.35794,0.000231213,0.000231213,0.000231213
89,6538.88,1.20151,0.84038,1.11625,0.76415,0.64254,0.72074,0.41163,1.54026,1.15823,1.36414,0.00021471,0.00021471,0.00021471
90,6599.52,1.20071,0.83472,1.12296,0.7573,0.65786,0.72276,0.41374,1.53827,1.15527,1.35871,0.000198206,0.000198206,0.000198206
91,6660.2,1.24873,0.8282,1.12869,0.75416,0.65434,0.71866,0.40896,1.55043,1.15527,1.36819,0.000181703,0.000181703,0.000181703
92,6720.28,1.21838,0.80186,1.11713,0.75011,0.65893,0.72072,0.40874,1.54974,1.14997,1.36645,0.0001652,0.0001652,0.0001652
93,6780.63,1.21392,0.79191,1.10414,0.74456,0.65526,0.71634,0.4084,1.54516,1.14778,1.36302,0.000148696,0.000148696,0.000148696
94,6840.61,1.20336,0.78891,1.10725,0.74591,0.65584,0.7174,0.41001,1.54704,1.14992,1.36589,0.000132193,0.000132193,0.000132193
95,6900.16,1.20524,0.78394,1.11021,0.75962,0.64987,0.71761,0.40972,1.55063,1.1473,1.36975,0.00011569,0.00011569,0.00011569
96,6960.03,1.20103,0.78145,1.10293,0.74722,0.66345,0.72267,0.41091,1.55132,1.1456,1.37299,9.91865e-05,9.91865e-05,9.91865e-05
97,7018.89,1.19843,0.76837,1.10555,0.74896,0.66007,0.72121,0.41138,1.54875,1.14452,1.37038,8.26832e-05,8.26832e-05,8.26832e-05
98,7078.51,1.18765,0.76782,1.09623,0.75467,0.65577,0.72334,0.41342,1.54771,1.14337,1.37143,6.61799e-05,6.61799e-05,6.61799e-05
99,7138.07,1.18895,0.74963,1.09689,0.75262,0.65945,0.72171,0.4139,1.5499,1.14429,1.37391,4.96766e-05,4.96766e-05,4.96766e-05
100,7196.79,1.19527,0.77026,1.10066,0.75227,0.65897,0.72106,0.41277,1.54897,1.14486,1.37299,3.31733e-05,3.31733e-05,3.31733e-05
